subject_id,task,data.value
44121918,T21,[{'0': 3}]
44121918,T22,[{'0': 3}]
44121918,T23,[{'0': 3}]
44121918,T25,[{'0': 3}]
44121918,T26,[{'0': 3}]
44121918,T27,[{'0': 3}]
44121918,T28,[{'0': 3}]
44121918,T29,[{'8': 3}]
44121920,T1,[{'8': 3}]
44121920,T2,[{'0': 3}]
44121920,T3,[{'0': 3}]
44121920,T4,[{'0': 3}]
44121920,T5,[{'0': 3}]
44121920,T7,[{'0': 3}]
44121920,T8,[{'6': 3}]
44121920,T9,[{'0': 3}]
44121920,T10,[{'0': 3}]
44121920,T11,[{'13': 3}]
44121920,T13,[{'0': 3}]
44121920,T14,[{'0': 3}]
44121920,T15,[{'0': 3}]
44121920,T16,[{'0': 3}]
44121920,T17,[{'0': 3}]
44121920,T19,[{'0': 3}]
44121920,T20,[{'0': 3}]
44121920,T21,[{'0': 3}]
44121920,T22,[{'0': 3}]
44121920,T23,[{'15': 3}]
44121920,T25,[{'0': 3}]
44121920,T26,[{'1': 3}]
44121920,T27,[{'0': 3}]
44121920,T28,[{'0': 3}]
44121920,T29,[{'0': 3}]
44121922,T1,[{'12': 3}]
44121922,T2,[{'11': 3}]
44121922,T3,[{'2': 3}]
44121922,T4,[{'0': 3}]
44121922,T5,[{'0': 3}]
44121922,T7,[{'0': 3}]
44121922,T8,[{'0': 3}]
44121922,T9,[{'0': 3}]
44121922,T10,[{'0': 3}]
44121922,T11,[{'0': 3}]
44121922,T13,[{'0': 3}]
44121922,T14,[{'0': 3}]
44121922,T15,[{'0': 3}]
44121922,T16,[{'0': 3}]
44121922,T17,[{'0': 3}]
44121922,T19,[{'0': 3}]
44121922,T20,[{'3': 3}]
44121922,T21,[{'1': 3}]
44121922,T22,[{'17': 3}]
44121922,T23,[{'1': 3}]
44121922,T25,[{'0': 3}]
44121922,T26,[{'0': 3}]
44121922,T27,[{'0': 3}]
44121922,T28,[{'0': 3}]
44121922,T29,[{'13': 3}]
44121923,T1,[{'0': 3}]
44121923,T2,[{'0': 3}]
44121923,T3,[{'0': 3}]
44121923,T4,[{'0': 3}]
44121923,T5,[{'0': 3}]
44121923,T7,[{'0': 3}]
44121923,T8,[{'0': 3}]
44121923,T9,[{'1': 3}]
44121923,T10,[{'8': 3}]
44121923,T11,[{'0': 3}]
44121923,T13,[{'0': 3}]
